COLLECTION,ADDRESS,TOKENID
CastleDAO,0xe50a05AAfe341DCE62256e6d5e806b4B2BB309E5,10000
CastleDAO,0x579c3cdFe643e4e80b2D9Ff462F5EE9465671dBB,8888
CastleDAO,0x773A8871DBfC2f5d699b88B8c37B3Cec0CC62281,666
CastleDAO,0x9be0acd94D6772FbEbA3779Efb0Fc9f3BF02A22c,1
CastleDAO,0xDa0402Ae38ec0A808134CC990B6bD28C1f64aAa8,8
CastleDAO,0xD996c2971FC86Fd32Ea3d1881f70C0E0Cfd90EFe,1337
CastleDAO,0xD996c2971FC86Fd32Ea3d1881f70C0E0Cfd90EFe,6969
CastleDAO,0xD996c2971FC86Fd32Ea3d1881f70C0E0Cfd90EFe,8008
CastleDAO,0x61751BC401f4EABe10A238661B4A60ba84910059,2
CastleDAO,0xF3881E1a018CcC24F1c78aeD70a4b84dB04c05E4,8000
CastleDAO,0xE70101Ac5D6dB9F867Eb53Bb80220b85AF488C4f,5688
CastleDAO,0x61751BC401f4EABe10A238661B4A60ba84910059,3
CastleDAO,0x61751BC401f4EABe10A238661B4A60ba84910059,4
CastleDAO,0x61751BC401f4EABe10A238661B4A60ba84910059,5
CastleDAO,0xF3881E1a018CcC24F1c78aeD70a4b84dB04c05E4,10
CastleDAO,0x551f5Bf2b4a82B36C39321e5B6A8A98EA818dC00,306
CastleDAO,0x274a3b6198B483A5b2aF51ebb09de9B1f931caEA,8502
CastleDAO,0x61751BC401f4EABe10A238661B4A60ba84910059,7
CastleDAO,0xF3881E1a018CcC24F1c78aeD70a4b84dB04c05E4,888
CastleDAO,0xa69F670EA591F11BED8DE61Ce0E3C014C849feda,88
CastleDAO,0x61751BC401f4EABe10A238661B4A60ba84910059,9087
CastleDAO,0xF3881E1a018CcC24F1c78aeD70a4b84dB04c05E4,80
CastleDAO,0xe264886FEb92E9c6A92fA196DFDC09D330B66c17,5254
CastleDAO,0x91609451B6a5775608787f3Da9501104935D3b25,69
CastleDAO,0x91609451B6a5775608787f3Da9501104935D3b25,420
CastleDAO,0x91609451B6a5775608787f3Da9501104935D3b25,156
CastleDAO,0xb5EFdb84b02844Dd4fbD378C4Abe73A680ec6A60,7865
CastleDAO,0xB9ccfC18B941A2CC51A956aa6C83360eb9d58DE7,6
CastleDAO,0x8B1EA47e37A70E7FeEFc6A6945a4A7272a7934db,123
CastleDAO,0xb2307A911A5AcB113813032e8FA1f76665198ef7,7777
CastleDAO,0x8B1EA47e37A70E7FeEFc6A6945a4A7272a7934db,777
CastleDAO,0x8B1EA47e37A70E7FeEFc6A6945a4A7272a7934db,765
CastleDAO,0x8B1EA47e37A70E7FeEFc6A6945a4A7272a7934db,490
